#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
82|1|USDT yVault|0x32651dD149a6EC22734882F790cBEB21402663F9|0x644501563ebE624eaAC6532681aD09fCFd9Ca65f|StrategyIdleidleUSDTYield|Idle Finance Reinvest|5|3|2|1|2|4|2|5471504514|Green|9551.03|49990448.97|3646.00|30049.38
83|1|MIM yVault|0x2807387F1212cB2852aB97cdAa3627dACa5E4661|0x657c5838656B4965dA46F9383db407dDcc3f4034|ssc mim mim|Curve Yield Seeker|5|2|3|1|1|2|3|5438997571|Green|106.49|49999893.51|106.41|50025556.62
84|1|HBTC yVault|0x0F6121fB28C7C42916d663171063c62684598f9F|0x3F64bb4C334488765A82a697cb210DA9BB876B67|SingleSidedCrvHBTC|Curve Yield Seeker|5|2|3|1|1|2|3|5438997571|Green|106.49|49999893.51|106.41|50025556.62
85|1|crvTETH yVault|0x015d78C7aD1289F5aA1DEC25bD6b67ba31fAc1Cf|0x55B0341d9316D24fcB409C8d98E2477364969184|Curve T-ETHConvex Strat|Convex Reinvest|5|2|2|1|2|1|3|5437949987|Green|1790753.10|48209246.90|962484.19|46759650.96
86|1|WETH yVault|0x5120FeaBd5C21883a4696dBCC5D123d6270637E9|0xB1d4c14f391A01927B6A1553627eC3045548775c|StrategyLenderYieldOptimiser||4|3|3|2|2|3|3|4398844003|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
87|1|wAAVE|0xF11b141BE4D1985E41c3AEa99417e27603F67c4c|0x24b09aCd8bCDeC98e7110a6234E4F48F30773C50|Strategy WBTC Lender USDC Borrower||5|1|4|2|1|2|2|5406524482|Green|1180.01|49998819.99|1168.36|44401756.57
88|1|LINK yVault|0x416ebADc07CC7efa94D9110A5B932089BBd49931|0xAA1C21F4Ab475b2E12bc7A56f7b60610E201dcF6|88MPH LINK via Compound|88 MPH Reinvest|5|3|2|1|2|3|3|5471504483|Green|112775.38|9887224.62|26042.42|1235903.08
89|1|renBTC yVault|0x3408324Dbb537886CADc180f6FfCf674eE215F67|0xC8B55e29a05d7f31790cA8F9D0BD8aA7B4B15b85|StrategyRook renBTC|KeeperDAO Reinvest|5|2|3|1|4|5|3|5439000739|Green|22.70|9999977.30|22.72|363.93
90|1|sUSD yVault|0x3466c90017F82DDA939B01E8DBd9b0f97AEF8DfC|0xA04fE40eD8a8a8d657E41276ec9e9Ee877675e34|StrategyIdleidleSUSDYield|Idle Finance Reinvest|5|3|2|1|2|4|2|5471504514|Green|9551.03|49990448.97|3646.00|30049.38
91|1|Curve Stax Frax/Temple xLP + LP yVault - Unlisted|0xe92AE2cF5b373c1713eB5855D4D3aF81D8a8aCAE|0x791F11d3D07263D45e7889307667Ac3E47F36655|ConvexTempleDAO-U||4|3|2|1|3|1|4|4397763620|Green|0.00|10000000.00|0.00|4074619.32
92|1|Curve EURT Pool yVault|0x4C4A6A22bCE915C724A66b82128577F1B24831eD|0xfeB97E1F6a64B5b75c5cF33e231f1908E447F96D|CurveEURT-fVoterProxy|Curve Boost|2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
93|1|FRAX yVault|0xB364D19c3FF37e0fa4B94bf4cf626729533C1c26|0x18f77065101B46ef219E2F40203C4d26d3fdAd86|ssc_frax_frax3crv|Curve Yield Seeker|2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
94|1|FRAX yVault|0xB364D19c3FF37e0fa4B94bf4cf626729533C1c26|0x7149ed403B22558dc450f50F5EE01dcb027965b1|StrategyTokemakFRAX|Tokemak Reinvest|4|3|3|1|3|5|2|4398812322|Green|0.00|10000000.00|0.00|10022058.55
95|1|USDC yVault|0xb0D6d7C0ed4b9C2B8186a3Ac3Acad88683586e35|0xc4929ef1B3226C2bdc429F477f306566133FE4B0|StrategyLenderYieldOptimiser||4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
96|1|WETH ubiVault|0x2147935D9739da4E691b8Ae2e1437492A394eBf5|0x3c64FbD61943beA4E14351547daBb834aB9c7711|StrategyUbiWETH||0|0|0|1|0|0|0|32768|Green|27881.70|99972118.30|3872.58|100049156.15
97|1|DAI-crosschain yVault|0x1F8ad2cec4a2595Ff3cdA9e8a39C0b1BE1A02014|0x48e6Ec297195828544Ef23d13A8912bc9daf80Ab|StrategyNotionalLending|Notional Reinvest|4|3|3|1|2|2|2|4398811202|Green|0.00|50000000.00|0.00|30055.12
98|1|Curve DOLA-FRAXBP Pool yVault - Unlisted|0xd395DEC4F1733ff09b750D869eEfa7E0D37C3eE6|0x57505ac8Dac3ce916A48b115e4003dc5587372c7|StrategyConvexDOLA-FRAXBP-U||5|2|2|1|2|1|3|5437949987|Green|1790753.10|48209246.90|962484.19|46759650.96
