#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
1|42161|Curve Tricrypto Pool Vault|0x239e14A19DFF93a17339DCC444f74406C17f8E67|0xcDD989d84f9B63D2f0B1906A2d9B22355316dE31|StrategyCurveTricrypto|Curve Gauge|2|4|2|1|1|1|3|2283832355|Green|73493.33|49926506.67|2176.33|49210008.94
2|42161|Curve MIM Pool Vault|0x1dBa7641dc69188D6086a73B972aC4bda29Ec35d|0xf1C3047C6310806de1d25535BC50748815066a7b|StrategyCurveStakerSpell|Curve MIM 3Pool Staker|5|3|2|1|4|3|4|5471506532|Green|17492.86|9982507.14|17241.97|9839334.98
3|42161|2CRV yVault|0x49448d2B94fb9C4e41a30aD8315D32f46004A34b|0xF992FCEF771dF908f9B09Bb2619092f70AB21957|StrategyCurveTwoPool|Curve Gauge|2|4|2|1|1|1|3|2283832355|Green|73493.33|49926506.67|2176.33|49210008.94
4|42161|Curve FRAX-VST Pool Vault|0x630c9050E6b0014C6Fe4C214D4840909345aDB7D|0xCcFfF90a596fCC0B549a5f69a70DE0a9c5295352|VstFraxStaker||5|5|5|5|5|5|5|5541893285|Green|0.00|0.00|0.00|0.00
